Question,Answer,Site,Hotel,Hotel_ID,Date
What is the hotel's fax number?,The hotel's fax number is 305-248-7935.,Website,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What is the hotel's address?,"The hotel's address is 333 SE 1st Ave, Florida City, FL 33034.",Website,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Tell me a little about the hotel?,"Experience our immaculate rooms and grounds at the gateway to the Florida Keys. Get the best value and quality. We offer a convenient location too: South Beach (30 miles - 45 minutes by car), Key Largo, Everglades and Biscayne National Parks, golf courses, universities, shops, entertainment, Alligator Farm, the best restaurants and other attractions are close. Activities including snorkeling, air boat rides, skydiving and wine tasting are a short drive away. Our amenities are top-notch; for example, our guests receive a hot buffet breakfast, free high-speed Wi-Fi, heated (seasonal) outdoor pool and free parking. Enjoy fresh coffee available from 6 A.M. to 11 P.M. in our lobby. Relax in one of our 123 newly-renovated guest rooms. Benefit from our 32-inch flat screen TV (with satellite channels), refrigerator, microwave, in-room tea and coffee pods, interior-corridor rooms and exterior-corridor rooms. We are consistent Choice Hotels Gold Award winners so come by; we do Whatever It Takes (W.I.T.). The acronym W.I.T. means we will do whatever it takes to make your stay enjoyable and go above and beyond your expectations.",Website,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you have a refrigerator?,We have a refrigerator in each room.,Website,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
"If I have a problem or issue, like a room with a bad odor/smell, unclean floor, lights not working, plumbing issue, hot water not working, or any problem whatsoever, what should I do?","If you have a problem in your room that is a maintenance or any other issue, please contact the front desk immediately (you can either dial 0 from your room phone, or call the front desk from a cell phone).  We will resolve the issue, and if we are not able to, we will provide you another room. Remember, your complete satisfaction is our #1 goal. We know you have choices of other hotels and highly appreciate you for selecting us. Since we value your patronage, it is very important to us that your stay will be a comfortable and enjoyable one. We take great pride in providing our guests with the utmost in professional and personalized service.  All Choice Hotels are rated through guest surveys, which score each hotel on its accommodations, service, and hospitality.  You may receive a survey either via email, or through the mail, which has a grading scale with “10” being the highest level.  We are graded solely by the percentage of “10’s” awarded.  In other words, a score lower than “10” means we did not meet your standards.  If you feel that any part of your stay is not worthy of  a “10” please allow us the opportunity to fix it while you are still here.  Simply dial “0” from any phone in the building to connect to Guest Services, or call the front desk.",Website,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What does W.I.T. stand for?,"The Quality Inn Florida City - Gateway to the Keys is an award-winning hotel.  We have won Hotel of the Year and Franchisee of the Year awards lately.  The cultural foundation supporting our hotel is the ""Whatever It Takes"" mantra or as is abbreviated on our staff's badges ""W.I.T."".  W.I.T means the customer experience delivered at our hotel is necessarily that of comfort and joy.  The custom is based on anticipating what guests look for; for example, provide an umbrella to the guest if it is raining outside, or helping an elderly couple placing their luggage in the room.  The staff is trained to do everything possible to remedy any complaint. Maintenance will be dispatched immediately, if for example, a light bulb is not working or a fridge is not cooling.  Another key characteristic behind the W.I.T. philosophy of anticipating guests' needs is navigating guest stays in the local area by providing tailored and comprehensive information about local places to eat and attractions (Alligator Farm, Everglades National Park, Biscayne National Park, Homestead-Miami Speedway, Florida Keys, and Robert is Here Fruit Stand).  To that end, all the front desk clerks wear badges with the title ""Navigator."" We are minority-owned and family-owned for over 25 years and maintain an impeccable reputation on TripAdvisor and other online travel agencies (as rated by our guests).  Amenities such as free Wi-Fi, broad range of TV channels, interior-corridor and exterior-corridor rooms, microwaves, refrigerators, free hot breakfast, seasonally-heated outdoor swimming pool, barbeque facilities, fitness center, and free coffee are some of many available that guests love.  The hotel's management act on guests’ constructive criticism as we continue to lead the pack.",Website,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What is your motto?,"At Quality Inn Florida City – Gateway to the Keys, we do Whatever-it-Takes to deliver Clean, Comfortable and
Commendable accommodations.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What should I do if I have an emergency?,Please dial 911 for an emergency or contact the front desk.,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What should I do if I have a housekeeping request?,Please dial 0 from the room phone or call the front desk to request housekeeping.  Please notify us 24-hours in advance for any housekeeping requests.,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Where can I get travel necessities?,"Please call the Front Desk for travel necessities such as shampoo, conditioner, comb, disposable razor, shaving cream, lotion, tooth brush, tooth paste, grooming kit, shower cap, deodorant and mouth wash. We sell local and European stamps at the Front Desk if you need to mail letters or postcards.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is there an ATM nearby?,The nearest ATM service is located at the front desk / registration desk.,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Where can I make copies or print documents?,Copy services are available at the Front Desk for a charge of 25¢ per copy. You may use the business center computers to print boarding passes at no charge. We also provide a capability to print documents from your mobile devices; please contact the Front Desk for instructions.,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What type of credit cards do you accept?,"We accept American Express, Visa, Carte Blanche, Diners Club, Discover and MasterCard with chip.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you provide cribs?,"A limited number of cribs are available as a complimentary special request item through the Front Desk. Cribs are available as a complimentary special request item through the Front Desk. The number of available cribs is limited and will be provided on a first come, first served basis. A deposit is required for using a crib. Guests are required to sign a disclaimer for use of crib.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you provide facsimile (fax) services?,See the Front Desk for facsimile (fax) service. The per fax cost is 99¢.,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What are the fire emergency procedures?,"The hotel is fully equipped with fire prevention devices. For your additional safety, please familiarize yourself with the fire alarm locations, exit routes and the fire safety guides.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Where can I inquire about toiletry items?,"If you are in need of an important toiletry item, contact the front desk.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
How may I contact the hotel operator?,"If you need assistance, touch 0 on the room telephone.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Where are the ice and vending machines located?,"Ice is located on each guest room floor. Snacks and soft drinks are located on the first floor of the main building in the corridor north of the pool area. A vending machine (soft drinks) is also located by the front entrance of the new, interior corridor, building.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you have Wi-Fi?,"We have free high speed Internet access, including Wi-Fi throughout our hotel. Please contact the front desk for the password.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What should I do if I lost my key cards?,Please notify the Front Desk immediately should you lose your key card; the Front Desk will make you another key card. ,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
"What should I do with the key cards, upon checking-out?",Kindly return your key card to the front desk when you check-out.,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What should I do if I lost or found something?,Please contact the front desk for articles lost or found.,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What should I do about mail or any messages I receive?,Mail and messages received at the hotel may be collected by either calling or stopping by the front desk.,Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What are the parking rules?,"Complimentary parking is available for all registered hotel guests. The hotel cannot be responsible for items left in vehicles on the hotel property. Please do not park a second vehicle in front of room; if you have more than one vehicle, please contact front desk on where to park additional vehicles in order to avoid inconveniencing other guests.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What are some of the nearby places of worship?,"1. Life Pointe Church. Phone: 305-247-0889; Address: 27500 Old Dixie Hwy, Homestead.
2. Sacred Heart Catholic Church. Phone: 305‑247‑4405; Address: 106 S.E. 1st Drive, Homestead.
3. South Dade Baptist Church. Phone: 305‑247‑3516; Address: 17105 S.W. 296th Street, Homestead.
4. St. Paul Baptist Church. Phone: 305‑247‑4014; Address: 344 S.W. 4th Avenue, Homestead.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Where may I make a new reservation or inquire about an existing reservation?,"Reservations may be made nationwide by dialing our toll-free number 800-4-CHOICE, 800-221-2222, or contact the Front Desk for assistance.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What are the fire safety policies and procedures?,"The hotel is protected by fire prevention devices and alarm systems. Please make yourself aware of the emergency procedures listed here to further enhance your safety and security. Take time to read and familiarize yourself with fire safety and escape information.
Your Best Defense Against a Fire is to Plan Ahead.
Learn the layout of your room and how to unlock the door in the dark. Put your room key and a flashlight close to where you sleep. In the event of fire, take your room key, flashlight and nothing else with you.
REMINDER
Do not smoke in bed. The most common cause of deadly hotel fires is smoking.
For guest rooms in the interior-corridor 2-story building:
• Locate 2 exits nearest your room. Be sure they are unlocked and unblocked. Then count the doors between your room and
exits so you’ll have a reference point if it is smoky or dark.
• When you hear an alarm, ACT, do not simply investigate.
• If the fire is in your room, get out and close the door. Please proceed to the nearest ground-floor open area that is safely away from the fire. Once you are safe, please report the fire to the hotel operator.
• If the fire is not in your room, leave if you can. First, feel the door. If it is cool, open it slowly and go to the nearest exit. Crawl if there is smoke. Fresher air will be at the floor. Take your keys so you can go back to your room if you cannot use the exits.
• If your door is hot, do not open it. Your room may be the safest place to be. Seal all cracks with wet towels. Shut off fans and air conditioners. Signal from your window. Call the fire department and wait to be rescued.
• If the smoke detector in your room beeps, please do not remove it. Dial 0 from room telephone and inform the Front Desk.
For guest rooms in the exterior-corridor 2-story building:
• Locate 2 exits nearest your room. Be sure they are unlocked and unblocked. Then count the doors between your room and exits so you will have a reference point if it is smoky or dark.
• When you hear an alarm, ACT, do not simply investigate.
• If the fire is in your room, get out and close the door. Alert your neighbors. Please proceed to the nearest ground-floor open area that is safely away from the fire. Once you are safe, please report the fire to the hotel operator.
• If the fire is not in your room, leave if you can. First, feel the door. If it is cool, open it slowly and go to the nearest exit. Crawl if there is smoke. Fresher air will be at the floor. Take your keys so you can go back to your room if you can’t use the exits.
• If your door is hot, do not open it. Your room may be the safest place to be. Seal all cracks with wet towels. Shut off fans and air conditioners. Signal from your window. Call the fire department and wait to be rescued.
• If the smoke detector in your room beeps, please do not remove it. Dial 0 from room telephone and inform the Front Desk.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What advice about safety do you have for the traveler?,"Your safety and the security of your personal property are of the utmost concern to those of us who welcome you as our guest. We urge you to take advantage of the following suggestions - we hope that these procedures will contribute to your comfort and well-being during your stay:
1. Do not answer the door in the hotel room without verifying who is there. If a person claims to be an employee, call the front desk and ask if someone from hotel staff is supposed to have access to your room and for what purpose. Do not admit persons to your room without first making identification. A peephole is provided in your door for your convenience. If there is any doubt about a person’s true identity, please contact the front desk.  Please do not allow any outside visitors into your room.
2. When returning to the hotel late in the evening, use the main entrance of the hotel. Be observant and look around before entering parking lots, and before leaving your vehicle.
3. Close the door securely whenever you are in your room and use all of the locking devices provided. For additional security while in your room, utilize the deadbolt lock provided on your door upon entering. This will prevent the door from being opened by a regular room key. As an additional precaution, please secure the safety chain or bar lock.
4. Do not needlessly display guest room keys in public or carelessly leave them on restaurant tables, at the swimming pool, or other places where they might be stolen. Safeguard your key. Be sure to leave it with the front desk upon departure. Do not leave the room key in your room or in the door. Do not give your room key to others.
5. Do not draw attention to yourself by displaying large amounts of cash or expensive jewelry.
6. Do not invite strangers to your room for any reason.
7. Place all valuables in the hotel's office safety deposit box.  Please contact the front desk to utilize the office safety deposit box.
8. Ensure that your car is locked, and do not leave any items of value in your car.
9. Check to see that any sliding glass doors or windows and any connecting room doors are locked.
10. If you are traveling with children, provide adult supervision and know their whereabouts at all times.
11. If you see any suspicious activity, please report your observations to the management.
12. Sometimes you may get suspicious calls to your room; if so, please do not give any personal or credit card information over the phone. Instead, please take down the caller’s phone number and request to call them back. Then, immediately call the Front Desk to verify if the call was legitimate.
13. For the safety of our guests and employees please observe signs for No Skateboarding, Bicycle Riding, Roller blading and Scooter Riding.
14. Please keep room door closed to keep mosquitoes out.",Guest Directory,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
